C1	CHIKV_AG_CTRL_Right_ankle_41
C10	CHIKV_AG_SOF_80_Right_ankle_50
C11	CHIKV_AG_MPV_10_Right_ankle_51
C12	CHIKV_AG_MPV_10_Right_ankle_52
C13	CHIKV_AG_MPV_10_Right_ankle_53
C14	CHIKV_AG_MPV_10_Right_ankle_54
C15	CHIKV_AG_MPV_10_Right_ankle_55
C16	CHIKV_AG_COMBO_Right_ankle_56
C17	CHIKV_AG_COMBO_Right_ankle_57
C18	CHIKV_AG_COMBO_Right_ankle_58
C19	CHIKV_AG_COMBO_Right_ankle_59
C2	CHIKV_AG_CTRL_Right_ankle_42
C20	CHIKV_AG_COMBO_Right_ankle_60
C21	CHIKV_AG_MPV_50_Right_ankle_559
C22	CHIKV_AG_MPV_50_Right_ankle_560
C23	CHIKV_AG_MPV_50_Right_ankle_561
C24	CHIKV_AG_MPV_50_Right_ankle_562
C25	CHIKV_AG_MPV_50_Right_ankle_563
C26	CHIKV_AG_MPV_100_Right_ankle_426
C27	CHIKV_AG_MPV_100_Right_ankle_427
C28	CHIKV_AG_MPV_100_Right_ankle_428
C29	CHIKV_AG_MPV_100_Right_ankle_429
C3	CHIKV_AG_CTRL_Right_ankle_43
C30	CHIKV_AG_MPV_100_Right_ankle_430
C4	CHIKV_AG_CTRL_Right_ankle_44
C5	CHIKV_AG_CTRL_Right_ankle_45
C6	CHIKV_AG_SOF_80_Right_ankle_46
C7	CHIKV_AG_SOF_80_Right_ankle_47
C8	CHIKV_AG_SOF_80_Right_ankle_48
C9	CHIKV_AG_SOF_80_Right_ankle_49